no;smiles;biotic_flag;ExactMolWt;MolLogP;NumHAcceptors;NumHDonors
81;OCC1OC(O)(CO)C(O)C1O;1;180.063388104;-3.2197999999999998;6.0;5.0
0;O=C(O)C(C(=O)O)C(O)(Cc1ccccc1)C(=O)O;0;268.05830272400004;-0.16980000000000045;4.0;4.0
1;N=C(N)NC(Cc1ccccc1)C(=O)NC(CO)C(N)=O;0;293.148789468;-1.9568299999999978;4.0;6.0
2;N#CCNCC(N)=O;0;113.058911844;-1.4151200000000004;3.0;2.0
3;N#CC(NCC(=O)NC(CC(N)=O)C(N)=O)C(=O)O;0;271.091668516;-3.6017199999999985;6.0;5.0
4;CC(O)C(=O)NC(C(N)=O)C(O)C(O)CO;0;236.100836232;-3.9485999999999986;6.0;6.0
5;CSC(=O)C(C)OC(=O)CCNC(=N)NC(=N)N;0;275.10521040400005;-0.7947599999999984;6.0;5.0
6;N#CCCN(CC(=O)O)C(=O)CN(CC#N)C(=O)CN;0;281.11240396000005;-1.8758399999999966;6.0;2.0
7;COC(=O)CN(CC#N)C(=N)NC(=N)N;0;212.102173624;-1.597179999999999;5.0;4.0
8;CCN(CC#N)C(=O)CCN(CCC#N)C(N)=O;0;251.138224784;0.04296000000000044;4.0;1.0
9;CSCCC=C(C=NC(C#N)C(=O)O)c1ccccc1;0;288.093248752;2.870680000000001;4.0;1.0
10;N#CCc1nc[nH]c1N(C=O)C(C#N)Cc1ccccc1;0;279.112010036;1.5734599999999999;4.0;1.0
11;C=CC=C(c1ccccc1)C(C#N)NC=CC(N)=O;0;253.1215121;1.7367799999999993;3.0;2.0
12;Cc1cnc(N=CC(CO)NC(=N)N)o1;0;211.106924656;-0.4707100000000008;5.0;4.0
13;CSCCC(=O)N(CCC(=O)O)CC(O)CO;0;265.098393708;-0.6039999999999996;5.0;3.0
14;C=C(c1ccccc1)C(NCCC(N)=S)C(=O)O;0;264.093248752;1.4187999999999998;3.0;3.0
15;N#CCN(CC(=O)NCCC(=O)OCC(N)=O)C(=N)N;0;284.123302992;-2.7597499999999977;6.0;4.0
16;N=C(N)NCC(=O)N(CC(N)=O)CC(=O)OCC(N)=O;0;288.11821761199997;-4.188129999999997;6.0;5.0
17;N#CCCN(CCC(=O)O)C(=O)CCNC(=N)N;0;255.133139404;-0.9234499999999977;4.0;4.0
18;NC(=S)CCN(CC(=O)O)C(=O)CNCC(O)CO;0;293.104541708;-2.4813999999999967;6.0;5.0
19;NC(=O)NCC(=O)NC(CC(N)=S)C(N)=S;0;263.051066656;-1.8981999999999992;4.0;5.0
20;CC(=NC(C#N)C(O)C(O)CO)C(=O)O;0;216.074621484;-1.8618199999999994;6.0;4.0
21;N#CC(CO)(N=CCO)C(O)CO;0;188.079706864;-2.3426199999999997;6.0;4.0
22;N#CCN(c1nc(N)nc(CNC(N)=O)n1)c1ncco1;0;289.103570592;-0.7282200000000003;9.0;3.0
23;C=CC(C#N)N(CCC#N)CC(=O)O;0;193.085126592;0.36486000000000013;4.0;1.0
24;NC(=S)C(Cc1ccccc1)NCC(O)CO;0;254.108898816;-0.17340000000000005;4.0;4.0
25;CC(N=C(CO)Cc1ccccc1)C(=O)O;0;221.10519334;1.1355;3.0;2.0
26;N#CCCN(CC#N)C(C#N)COC(=O)CCNC(N)=O;0;292.12838837199996;-0.7805599999999988;7.0;2.0
27;CC(CO)=NCC(=O)N(CCC#N)C(C)C#N;0;236.127325752;0.0939599999999996;5.0;1.0
