"cluster_id";"is_centroid";"smiles"
0;0;"CCN(CC(N)=O)C(=O)CCN(CC#N)C(N)=O"
0;0;"CCN(CCC#N)C(=O)CCNC(N)=O"
0;0;"CCN(CC#N)C(=O)CNC(=O)CCN(C=O)CC(=O)O"
0;0;"COC(=O)CN(CCC#N)C(=O)CN(CC#N)C(N)=O"
0;0;"CC(C#N)N(CC(N)=O)C(=O)CN(CCC#N)C(N)=O"
0;0;"N#CCN(CC(=O)NCCC(=O)O)C(N)=O"
0;0;"COC(=O)CN(CCC#N)C(=O)CNC(=O)CNC(N)=O"
0;0;"N#CCCC(C#N)NC(=O)CN(CC#N)C(N)=O"
0;0;"CC(C#N)N(CC(N)=O)C(=O)CNC(=O)CN"
0;0;"N#CCCN(CC#N)C(=O)CNC=O"
0;0;"CC(O)C(=O)NCC(=O)N(CCC#N)C(C)C#N"
0;0;"CCN(CCC#N)C(=O)CNC(=O)CCNC(C#N)CO"
0;0;"CC(N)C(=O)NCC(=O)N(CC#N)CC#N"
0;0;"CCN(CCC(N)=O)C(=O)CN(CCC#N)C(N)=O"
0;0;"CCN(C(=O)CN(CC#N)C(=O)CNC(N)=O)C(C)C#N"
0;0;"CC(C#N)N(CCC#N)C(=O)CNC(=O)CCNC(=N)N"
0;0;"N#CCCN(C(=O)CNC(N)=O)C(CC(N)=O)C(N)=O"
0;0;"COC(=O)CCN(CC(=O)NCCC#N)C(N)=O"
0;0;"CC(C#N)N(CC(=O)NCC(N)=O)C(=O)CNC(N)=O"
0;0;"CC(O)C=NCC(=O)NCC(=O)N(CCC#N)CCC#N"
0;0;"CC(C#N)NC(=O)CNC(=O)CN(CC#N)C(N)=O"
0;0;"N#CCCN(C=O)CC(=O)NCC#N"
0;0;"N#CCCN(CCC(N)=O)C(=O)CNC(N)=O"
0;0;"N#CCCN(CC#N)C(=O)CNC(=O)CNC=O"
0;0;"CSCCC(=O)NCC(=O)N(CCC#N)CC(N)=O"
0;0;"COC(=O)CCN(CC#N)C(=O)CNC(=O)C(C)N"
0;0;"COC(=O)CNC(=O)CN(CC#N)C(=O)CNC(N)=O"
0;0;"COC(=O)CN(CC#N)C(=O)CN(CCC#N)C(N)=O"
0;0;"N#CCCN(CCO)C(=O)CN(CC#N)C(N)=O"
0;0;"CCN(CCC#N)C(=O)CNC(=O)CCSC"
0;0;"CCN(CC#N)C(=O)CCNC(=O)CNC(N)=O"
0;0;"CC(N)C(=O)N(CCC#N)CC(=O)N(CC#N)CC(N)=O"
0;0;"N#CCNC(=O)CN(CCO)C(N)=O"
0;0;"CCN(CC(=O)NCC#N)C(=O)CCN(CC#N)C(N)=O"
0;0;"N#CCN(CCC(=O)NCC(=O)NC(C#N)CO)C(N)=O"
0;0;"N#CCCC=NCC(=O)N(CC#N)CC(=O)NCCC#N"
0;0;"CCN(CCC#N)C(=O)CN(CC(N)=O)C(N)=O"
0;0;"N#CCN(C=O)CC(=O)NCC(=O)NCC(N)=O"
0;0;"COC(=O)CCNC(=O)CNC(=O)CN(CC#N)C(N)=O"
0;0;"CC(O)C(=O)N(CC#N)CC(=O)NCC#N"
0;0;"CC(N)C(=O)N(CC#N)CC(=O)NCC(N)=O"
0;0;"CCN(C(=O)CCN(CC#N)C(N)=O)C(C#N)CO"
0;0;"CCC(=S)NCC(=O)NCC(=O)N(CC#N)CC#N"
0;0;"N#CCCN1CC(=O)NC1=O"
0;0;"CCN(CC#N)C(=O)CNC(N)=O"
0;0;"N#CCN(CC(N)=O)C(=O)CCN(CC(N)=O)C(N)=O"
0;0;"CC(CO)=NCC(=O)NCC(=O)N(CC#N)CC(N)=O"
0;0;"CC(C#N)NCCC(=O)NCC(=O)N(CC#N)CCC#N"
0;0;"CCN(CCC#N)C(=O)CN(CCC#N)C(N)=O"
0;0;"CCN(CC#N)C(=O)CNC(=O)CN(CCC#N)C(N)=O"
0;0;"N#CCCN(CC#N)C(=O)CCN(CCC(N)=O)C(N)=O"
0;0;"CCN(CC(N)=O)C(=O)CCN(C(N)=O)C(C#N)CC#N"
0;0;"N#CCN(CCC(=O)OCC(N)=O)C(=O)CNC(N)=O"
0;0;"CCN(CC#N)C(=O)CNC(=O)CN1CC(N)=NC1=O"
0;0;"N#CCCN(CCC(N)=O)C(=O)CNC(=O)CNC(N)=O"
0;0;"N#CCCN(CC#N)C(=O)CNC(=O)CNC(=N)N"
0;0;"N#CCN(CC(=O)NC(CO)CO)C(N)=O"
0;0;"N#CCN(CCC(N)=O)C(=O)CNC(=O)CNC(N)=O"
0;0;"CSCCC(=O)NCC(=O)N(CC#N)CCC(N)=O"
0;0;"CC(O)C(=O)N(CC#N)CC(=O)N(CCC#N)CC(N)=O"
0;0;"CC(O)C(=O)N(CC#N)CC(=O)NCC(=O)NCC#N"
0;0;"N#CCCN(CCC(=O)N(CC#N)CC#N)C(N)=O"
0;0;"CCN(CC(=O)N(CC#N)CCC#N)C(N)=O"
0;0;"CC(C(N)=O)N(CCC#N)C(=O)CNC(N)=O"
0;0;"CCN(CC(=O)NCC#N)C(=O)CN(CC(N)=O)C(N)=O"
0;0;"N#CCNC(=O)CN(CCC(N)=O)C(=O)CNC(N)=O"
0;0;"N#CCN(CC#N)C(=O)CNC(=O)CN"
0;0;"CCN(CC(=O)NCC(N)=O)C(=O)CN"
0;0;"N#CCCC(C#N)NC(=O)CN(CCC(N)=O)C(N)=O"
0;0;"CC(C#N)NC(=O)CNC(=O)CN(CC(N)=O)C(N)=O"
0;0;"N#CCNC(=O)CN(CCC(N)=O)C(N)=O"
0;0;"N#CCCN(CC(N)=O)C(=O)CNC(=O)CN=CCO"
0;0;"CC(O)C(=O)N(CC#N)CC(=O)NCC(=O)NCCC#N"
0;0;"N#CCNC(=O)CN(CC#N)C(=O)CNC(=O)CN"
0;0;"CCN(C(=O)CNC(=O)CCNC(N)=O)C(C#N)CC#N"
0;0;"N#CCCNCC(=O)N(CC#N)CC(=O)NCC(N)=O"
0;0;"N#CCN(CC#N)C(=O)CN(CC(N)=O)C(N)=O"
0;0;"CCN(CC(N)=O)C(=O)CNC(=O)CCNC(C)C#N"
0;0;"CCNCC(=O)NCC(=O)N(CC#N)CCC#N"
0;0;"CC(NC(=O)CN(CC#N)C(=O)CNC(N)=O)C(N)=O"
0;0;"CCN(CC(=O)NCC#N)C(N)=O"
0;0;"CC(OC(=O)CNC(=O)CN(CCC#N)C(N)=O)C(N)=O"
0;0;"N#CCN1CCC(=O)NCC1=O"
0;0;"CCN(C(=O)CN(CCC#N)C(N)=O)C(C#N)CC#N"
0;0;"CC(C#N)N(CC(=O)N(CC#N)CC#N)C(N)=O"
0;0;"CCN(CC(=O)NCC#N)C(=O)C(C)O"
0;0;"CCN(CC(=O)NCC#N)C(=O)C(C)N"
0;0;"CCN(CC#N)C(=O)CCN(CC(N)=O)C(N)=O"
0;0;"CCN(C(=O)CN(CCC#N)C(N)=O)C(C#N)CO"
0;0;"N#CCCNC(=O)CN(CCO)C(N)=O"
0;0;"N#CCNC(=O)CN(CC(=O)NCC#N)C(N)=O"
0;0;"N#CCN(CC(N)=O)C(=O)CNC=O"
0;0;"CCN(CC(=O)NCC#N)C(=O)CNC(=O)CNC(N)=O"
0;0;"N#CCCN(CC(N)=O)C(=O)CNC(=O)CN"
0;0;"N#CCCN(CC(=O)N(CCO)CCC#N)C(N)=O"
0;0;"N#CCNC(=O)CNC(=O)CN(CCC(N)=O)C(N)=O"
0;0;"N#CCCN(C(=O)CNC(=O)CN)C(C#N)CC#N"
0;0;"N#CCN(CC#N)C(=O)CNC(=O)C(N)CO"
0;0;"CC(C#N)NC(=O)CCN(CC(=O)NCCC#N)C(N)=O"
0;0;"N#CCCN(CC(=O)N(CC#N)CCO)C(N)=O"
0;0;"CSCCC(=O)NCC(=O)N(CC#N)CCC#N"
0;0;"N#CCCN(CCC#N)C(=O)CCN(CC#N)C(N)=O"
0;0;"N#CCCNC(=O)CN(CCC(=O)O)C(=O)CNC(N)=O"
0;0;"N#CCCN(CC#N)C(=O)CNC(=O)CCNC(N)=O"
0;0;"COC(=O)CN(CC(N)=O)C(=O)CN(CCC#N)C(N)=O"
0;0;"CC(C)=NCC(=O)NCC(=O)N(CCC#N)CC(N)=O"
0;0;"N#CCN(CC(N)=O)C(=O)CNC(=O)CN=C(CO)CO"
0;0;"CC(NC(=O)CCN(CCC#N)C(N)=O)C(N)=O"
0;0;"N#CCCCNCC(=O)NCC(=O)N(CC#N)CCC#N"
0;0;"N#CCCN(CCC#N)C(=O)CNC(=O)CNCC#N"
0;0;"CCN(CCC#N)C(=O)CCN(CC(N)=O)C(N)=O"
0;0;"CC=NCC(=O)N(CCC#N)CC(=O)NCC#N"
0;0;"N#CCCN(C(=O)CNC(N)=O)C(CO)C(N)=O"
0;0;"CCN(CCC(=O)O)C(=O)CN(CCC#N)C(N)=O"
0;0;"CC(C#N)NC(=O)CN(CC(=O)NC(C)C#N)C(N)=O"
0;0;"CC(O)C(=O)N(CC#N)CC(=O)NCCC(N)=O"
