smiles; heat of formation [kcal/mol]
N#CC(CNC(=N)N)NCC(=O)O;-32.71836
N#CC(CNC(=N)N)N(CC(=O)O)C(=O)CCNC(=N)N;-62.04204
N#CC(CNC(=N)N)N(CC(=O)O)C(=O)CCNC(N)=O;-127.4201
N#CC(CNC(=N)N)N(CC(=O)O)C(=O)CNC(=N)N;-55.94229
N#CC(CNC(=N)N)N(CC(=O)O)C(=O)CNC(N)=O;-124.14452
N#CC(CNC(=N)N)NC=O;10.25031
N#CC(CNC(=N)N)N(C=O)c1cc[nH]c(=O)n1;4.5098
N#CC(CNC(=N)N)N(C=O)c1ncco1;21.51041
N#CC(CNC(=N)N)N(C=O)c1ncnc2[nH]cnc12;88.36192
N#CC(CNC(=N)N)NC(=O)c1nc[nH]c1NC(N)=O;-8.73432
N#CC(CNC(=N)N)N(C=O)c1nc(=O)[nH]c2[nH]cnc12;31.35943
N#CC(CNC(=N)N)N(C=O)c1[nH]cnc1C(N)=O;2.65453
N#CC(CNC(=N)N)N(C=O)c1[nH]cnc1C(=O)O;-36.91785
N#CC(CNC(=N)N)N(C=O)CCC(N)=O;-32.88205
N#CC(CNC(=N)N)N(C=O)C(CC(N)=O)C(N)=O;-83.61052
N#CC(CNC(=N)N)N(C=O)CCC(=O)O;-82.29446
N#CC(CNC(=N)N)N(C=O)C(CC(=O)O)C(=O)O;-168.03699
N#CC(CNC(=N)N)N(C=O)C(C#N)Cc1ccccc1;63.96493
N#CC(CNC(=N)N)NC(=O)CCN(CC(N)=O)C(=N)N;-12.36462
N#CC(CNC(=N)N)NC(=O)CCN(CC(N)=O)C(N)=O;-87.04159
N#CC(CNC(=N)N)NC(=O)CCNC(CO)C(N)=O;-94.3026
N#CC(CNC(=N)N)NC(=O)CCNC(CO)C(=O)O;-131.17848
N#CC(CNC(=N)N)NC(=O)CCN(CC(=O)O)C(=N)N;-64.40873
N#CC(CNC(=N)N)NC(=O)CCN(CC(=O)O)C(N)=O;-137.15827
N#CC(CNC(=N)N)NC(=O)CCNC(=N)N;16.14547
N#CC(CNC(=N)N)NC(=O)CCNC(=N)NC(=N)N;32.30482
N#CC(CNC(=N)N)NC(=O)CCNC(N)=O;-47.26674
N#CC(CNC(=N)N)NC(=O)CCN(C=O)CCC(N)=O;-91.13204
N#CC(CNC(=N)N)NC(=O)CCN(C=O)CCC(=O)O;-140.55759
N#CC(CNC(=N)N)NC(=O)CCN(C=O)C(C#N)CO;-55.30777
N#CC(CNC(=N)N)NC(=O)CCN(C=O)CC(N)=O;-81.26654
N#CC(CNC(=N)N)NC(=O)CCN(C=O)CC(=O)O;-121.99288
N#CC(CNC(=N)N)NC(=O)CCNC(=O)CNC(=N)N;-22.10807
N#CC(CNC(=N)N)NC(=O)CCNC(=O)CNC(N)=O;-95.20055
N#CC(CNC(=N)N)N(C=O)CC(N)=O;-26.62208
N#CC(CNC(=N)N)N(C=O)C(C(N)=O)C(N)=O;-72.8726
N#CC(CNC(=N)N)N(C=O)CC(=O)NCC(N)=O;-77.69498
N#CC(CNC(=N)N)N(C=O)CC(=O)NCC(=O)O;-118.4486
N#CC(CNC(=N)N)N(C=O)CC(=O)O;-75.62538
N#CC(CNC(=N)N)NC(=O)CN1CCC(N)=NC1=O;-21.59185
N#CC(CNC(=N)N)NC(=O)CN1CC(N)=NC1=O;-3.81775
N#CC(CNC(=N)N)NC(=O)CN(CCC(N)=O)C(=N)N;-20.53094
N#CC(CNC(=N)N)NC(=O)CN(CCC(N)=O)C(N)=O;-99.94001
N#CC(CNC(=N)N)NC(=O)CN(CC(N)=O)C(=N)N;-19.4648
N#CC(CNC(=N)N)NC(=O)CN(CC(N)=O)C(N)=O;-93.96111
N#CC(CNC(=N)N)NC(=O)CNC(=N)N;26.94756
N#CC(CNC(=N)N)N(C(=O)CNC(=N)N)c1ncco1;32.17874
N#CC(CNC(=N)N)NC(=O)CNC(=N)NC(=N)N;36.75726
N#CC(CNC(=N)N)NC(=O)CNC(N)=O;-45.30189
N#CC(CNC(=N)N)N(C(=O)CNC(N)=O)c1ncco1;-32.89321
N#CC(CNC(=N)N)NC(=O)CNC(=O)CNC(=N)N;-16.81157
N#CC(CNC(=N)N)NC(=O)CNC(=O)CNC(N)=O;-96.08939
N#CC(CNC(=N)N)NC(=O)C(=O)Cc1ccccc1;-1.33204
N#CC(CNC(=N)N)NC(=O)C(O)Cc1ccccc1;-21.42797
N#CCCNC(N)=O;-19.69918
N#CC=CNC(N)=O;-2.81513
N#CCCN(C(N)=O)c1c(CC#N)ncn1C(=N)N;67.30098
N#CCCN(C(N)=O)c1cc[nH]c(=O)n1;-30.49829
N#CCCN(C(N)=O)c1c(C#N)ncn1C(=N)N;75.03836
N#CCCN(C(N)=O)c1c(C#N)ncnc1NCC#N;95.54373
N#CCCN(C(N)=O)c1c(C#N)ncnc1N=CCO;40.40051
N#CCCN(C(N)=O)c1c(C#N)ncnc1N=CC(=O)O;8.14601
N#CCCN(C(N)=O)c1c(C#N)ncnc1NC=N;87.15499
N#CCCN(C(N)=O)c1c(C#N)ncnc1NC(=N)C#N;123.40344
N#CCCN(C(N)=O)c1c(C#N)ncnc1NC(=N)N;87.26485
N#CCCN(C(N)=O)c1c(C#N)ncnc1NC(N)=O;23.03375
N#CCCN(C(N)=O)c1c(C#N)ncnc1NC=O;29.18242
N#CCCN(C(N)=O)c1c(C(N)=O)ncn1C(=N)N;-1.13576
N#CCCN(C(N)=O)c1c(C(=O)O)ncn1C(=N)N;-44.10426
N#CCCN(C(N)=O)c1c(C(=O)O)nc[nH]c1=O;-109.99556
N#CCCN(C(N)=O)c1c(N)ncnc1C#N;61.42915
N#CCCN(C(N)=O)c1nc2[nH]cnc2c(=O)[nH]1;3.53832
N#CCCN(C(N)=O)C1=NC2OCC(O)C2O1;-124.18405
N#CCCN(C(N)=O)c1ncc(Cc2ccccc2)o1;1.64559
N#CCCN(C(N)=O)c1ncc(CO)o1;-62.85828
N#CCCN(C(N)=O)c1ncco1;-16.1725
N#CCCN(C(N)=O)c1ncnc2c1ncn2C(=N)N;79.32266
N#CCCN(C(N)=O)c1ncnc2[nH]cnc12;54.36259
N#CCCN(C(N)=O)c1ncnc2[nH]c(=O)[nH]c12;-1.78112
N#CCCN(C(N)=O)c1ncnc(C#N)c1NC(N)=O;30.0975
N#CCCN(C(N)=O)c1nc(=O)n(CC#N)c2[nH]cnc12;33.30642
N#CCCN(C(N)=O)c1nc(=O)[nH]c2[nH]cnc12;-1.60416
N#CCCN(C(N)=O)c1[nH]cnc1-c1nc(N)nc(N)n1;67.68531
N#CCCN(C(N)=O)c1[nH]cnc1Cc1ccccc1;28.8422
N#CCCN(C(N)=O)c1[nH]cnc1CC#N;39.67224
N#CCCN(C(N)=O)c1[nH]cnc1CC(N)=O;-36.23546
N#CCCN(C(N)=O)c1[nH]cnc1CC(=O)O;-81.82433
N#CCCN(C(N)=O)c1[nH]cnc1C#N;51.34247
N#CCCN(C(N)=O)c1[nH]cnc1C(N)=O;-27.9075
N#CCCN(C(N)=O)c1[nH]cnc1CO;-31.5721
N#CCCN(C(N)=O)c1[nH]cnc1C(=O)Nc1ncco1;-19.92703
N#CCCN(C(N)=O)c1[nH]cnc1C(=O)NCCC(N)=O;-80.01895
N#CCCN(C(N)=O)c1[nH]cnc1C(=O)NCCC(=O)O;-123.30825
N#CCCN(C(N)=O)c1[nH]cnc1C(=O)NCC#N;5.18409
N#CCCN(C(N)=O)c1[nH]cnc1C(=O)NC(C#N)CO;-44.45973
N#CCCN(C(N)=O)c1[nH]cnc1C(=O)NCC(N)=O;-74.90745
N#CCCN(C(N)=O)c1[nH]cnc1C(=O)NC(CO)CO;-125.86892
N#CCCN(C(N)=O)c1[nH]cnc1C(=O)NCC(=O)O;-118.13602
N#CCCN(C(N)=O)c1[nH]cnc1C(=O)O;-71.3916
N#CCCN(C(N)=O)c1[nH]cnc1C(=O)OCC(N)=O;-108.32837
N#CCCN(C(N)=O)c1[nH]c(=O)n(CCC#N)c1C#N;22.34266
N#CCCN(C(N)=O)c1[nH]c(=O)[nH]c1C#N;-5.17061
N#CCCN(C(N)=O)c1[nH]c(=O)[nH]c1C(N)=O;-84.14297
N#CCCN(C(N)=O)c1[nH]c(=O)[nH]c1C(=O)O;-128.47769
N#CCCN(C(N)=O)C(Cc1ccccc1)C(N)=O;-48.24032
N#CCCN(C(N)=O)C(Cc1ccccc1)C(=O)O;-92.43879
N#CCCN(C(N)=O)C(C#Cc1ccccc1)CO;8.34347
N#CCCN(C(N)=O)C(CC#N)C(=O)O;-80.32024
N#CCCN(C(N)=O)C(CC(N)=O)C(N)=O;-114.93351
N#CCCN(C(N)=O)C(CC(=O)O)C(=O)O;-203.77288
N#CCCN(C(N)=O)C(C#N)=C1NC=NC1=N;85.0384
N#CCCN(C(N)=O)C(C#N)=C1N=CNC1=N;88.08065
N#CCCN(C(N)=O)C(C#N)Cc1ccccc1;31.00654
N#CCCN(C(N)=O)C(C#N)C(=CCO)c1ccccc1;2.8042
N#CCCN(C(N)=O)C(C#N)CC#N;42.98666
N#CCCN(C(N)=O)C(C#N)C#N;53.43784
N#CCCN(C(N)=O)C(C#N)(C#N)CCc1nc[nH]c1N;84.10754
N#CCCN(C(N)=O)C(C#N)(C#N)CCC(C#N)NCC#N;109.49085
N#CCCN(C(N)=O)C(C#N)(C#N)CCC(C#N)NC=O;43.38309
N#CCCN(C(N)=O)C(C#N)(C#N)CCC=Nc1ncco1;72.10457
N#CCCN(C(N)=O)C(C#N)(C#N)CCCNCC#N;77.11973
N#CCCN(C(N)=O)C(C#N)(C#N)CCC=NCC#N;99.08172
N#CCCN(C(N)=O)C(C#N)(C#N)CCC=NC(C#N)C#N;135.81329
N#CCCN(C(N)=O)C(C#N)(C#N)CCC=NCC(N)=O;19.20663
N#CCCN(C(N)=O)C(C#N)(C#N)CCCNCC(N)=O;9.68653
N#CCCN(C(N)=O)C(C#N)(C#N)CCC=NCC(=O)O;-24.04782
N#CCCN(C(N)=O)C(C#N)(C#N)CCCNCC(=O)O;-37.63528
N#CCCN(C(N)=O)C(C#N)(C#N)CCC(N)C#N;78.8443
N#CCCN(C(N)=O)C(C#N)(C#N)CCC=O;18.25824
N#CCCN(C(N)=O)C(C#N)(C#N)CCC(O)C#N;34.19051
N#CCCN(C(N)=O)C(C#N)=C(N)C#N;64.19667
N#CCCN(C(N)=O)C(C#N)CO;-33.68223
N#CCCN(C(N)=O)C(C#N)C(O)Cc1ccccc1;-14.58297
N#CCCN(C(N)=O)C(C#N)C(O)CO;-78.93593
N#CCCN(C(N)=O)C(C#N)COC(=O)CCNC(=N)N;-62.95612
N#CCCN(C(N)=O)C(C#N)COC(=O)CCNC(N)=O;-121.30077
N#CCCN(C(N)=O)C(C#N)COC(=O)CNC(=N)N;-46.71741
N#CCCN(C(N)=O)C(C#N)COC(=O)CNC(N)=O;-113.28938
N#CCCN(C(N)=O)C(C#N)C(O)C(O)CO;-133.81412
N#CCCN(C(N)=O)C(C#N)COC(=O)C(O)C(N)=O;-153.99465
N#CCCN(C(N)=O)C(C#N)C(=O)O;-68.11225
N#CCCN(C(N)=O)C(C(N)=O)C(N)=O;-103.24833
N#CCCN(C(N)=O)C(CO)C(N)=O;-112.62196
N#CCCN(C(N)=O)C(CO)C(=O)O;-159.12008
N#CCC(NC(N)=O)C(=O)OCc1cnc[nH]1;-72.46129
N#CCC(NC(N)=O)C(=O)OC(CC(N)=O)C(N)=O;-201.05423
N#CCCNC=O;-13.22241
N#CCCN(C=O)c1ccn(C2OCC(O)C2O)c(=O)n1;-157.50428
N#CCCN(C=O)c1cc[nH]c(=O)n1;-22.9356
N#CCCN(C=O)c1c(C(=O)O)nc[nH]c1=O;-99.10693
N#CCCN(C=O)c1nc2[nH]cnc2c(=O)[nH]1;9.60568
N#CCCN(C=O)C1=NC2OC(CNC(=N)N)C(O)C2O1;-95.79928
N#CCCN(C=O)C1=NC2OCC(O)C2O1;-115.42233
N#CCCN(C=O)C1=NC2OC(C(O)C3CO3)C(O)C2O1;-176.51452
N#CCCN(C=O)C1=NC2OC(CO)C(O)C2O1;-165.2106
N#CCCN(C=O)C1=NC2OC(C(O)CO)C(O)C2O1;-219.36106
N#CCCN(C=O)c1ncc(Cc2ccccc2)o1;7.36441
N#CCCN(C=O)c1ncc(CO)o1;-53.41973
N#CCCN(C=O)c1ncco1;-8.32883
N#CCCN(C=O)c1ncnc2[nH]cnc12;60.58415
N#CCCNC(=O)c1ncnc2[nH]c(=O)c(=O)[nH]c12;-40.5614
N#CCCN(C=O)c1ncnc2[nH]c(=O)[nH]c12;3.46131
N#CCCN(C=O)c1ncnc(C#N)c1NC(N)=O;33.56807
N#CCCN(C=O)c1ncnc(C#N)c1N(C=O)CCC#N;66.16232
N#CCCNC(=O)c1ncnc(NC(=N)N)c1NC(=N)N;69.2975
N#CCCNC(=O)c1ncnc(NC(N)=O)c1NC(N)=O;-61.06935
N#CCCNC(=O)c1ncn(C(=N)N)c1NC(N)=O;-4.74979
N#CCCNC(=O)c1nc[nH]c1N(CCC#N)CCC#N;68.49347
N#CCCNC(=O)c1nc[nH]c1N(CCC#N)C(N)=O;-2.18427
N#CCCNC(=O)c1nc[nH]c1N(CC#N)CCC#N;80.41128
N#CCCNC(=O)c1nc[nH]c1N(CC#N)C(N)=O;6.97761
N#CCCNC(=O)c1nc[nH]c1NC(N)=O;-33.48376
N#CCCN(C(=O)c1nc[nH]c1NC(N)=O)c1ncco1;-22.8443
N#CCCN(C(=O)c1nc[nH]c1NC(N)=O)C(C#N)CO;-45.30412
N#CCC(NC(=O)c1nc[nH]c1NC(N)=O)C(N)=O;-77.27225
N#CCCNC(=O)c1nc[nH]c1NC(=O)CNC(=N)N;-8.39441
N#CCCNC(=O)c1nc[nH]c1NC(=O)CNC(N)=O;-74.38509
N#CCCN(C=O)c1nc(=O)n(CC#N)c2[nH]cnc12;41.65053
N#CCCN(C=O)c1nc(=O)[nH]c2[nH]cnc12;5.80884
N#CCCN(C=O)c1[nH]cnc1Cc1ccccc1;37.02308
N#CCCN(C=O)c1[nH]cnc1CC#N;47.43339
N#CCCN(C=O)c1[nH]cnc1CC(N)=O;-27.63253
N#CCCN(C=O)c1[nH]cnc1CC(=O)O;-70.99029
N#CCCN(C=O)c1[nH]cnc1C#N;57.97913
N#CCCN(C=O)c1[nH]cnc1C(N)=O;-21.10543
N#CCCN(C=O)c1[nH]cnc1CO;-24.14924
N#CCCN(C=O)c1[nH]cnc1C(=O)O;-64.46887
N#CCCN(C=O)c1[nH]c(=O)n(CCC#N)c1C#N;28.4731
N#CCCN(C=O)c1[nH]c(=O)[nH]c1C#N;1.8753
N#CCCN(C=O)c1[nH]c(=O)[nH]c1C(N)=O;-72.74228
N#CCCN(C=O)c1[nH]c(=O)[nH]c1C(=O)O;-121.94422
N#CCCN(C=O)CCc1ccccc1;5.05617
N#CCCN(C=O)C(Cc1ccccc1)C(N)=O;-40.72983
N#CCCN(C=O)C(Cc1ccccc1)C(=O)O;-82.11673
N#CCCNC(=O)C(Cc1ccccc1)NCCC#N;22.87275
N#CCCNC(=O)C(Cc1ccccc1)NC=CC(N)=O;-33.90775
N#CCCNC(=O)C(Cc1ccccc1)NCC#N;31.439
N#CCCNC(=O)C(Cc1ccccc1)N=CCO;-24.118
N#CCCNC(=O)C(Cc1ccccc1)N=CC(O)CO;-77.92041
N#CCCNC(=O)C(Cc1ccccc1)N=C(CO)CO;-84.02087
N#CCCNC(=O)C(Cc1ccccc1)N=CC(=O)O;-65.48015
N#CCCNC(=O)C(Cc1ccccc1)NC=N;23.30655
N#CCCNC(=O)C(Cc1ccccc1)NC(=N)N;17.81733
N#CCCNC(=O)C(Cc1ccccc1)NC(N)=O;-48.85666
N#CCCNC(=O)C(Cc1ccccc1)NC=O;-42.04171
N#CCCNC(=O)C(Cc1ccccc1)NC(=O)CN;-42.97256
N#CCCN(C=O)CCc1nc(N)nc(NCC#N)n1;61.06064
N#CCCN(C=O)CCc1nc(N)nc(NCC(N)=O)n1;-17.16259
N#CCCN(C=O)CCc1nc(N)nc(NCC(=O)O)n1;-61.12673
N#CCCN(C=O)CCc1nc(N)nc(N)n1;31.88364
N#CCCN(C=O)CCC#N;15.25431
N#CCCN(C=O)CCC(N)=O;-64.12719
N#CCCN(C=O)C(CC(N)=O)C(N)=O;-104.01389
N#CCCN(C=O)CCC(=O)Nc1cc[nH]c(=O)n1;-76.15355
N#CCCN(C=O)CCC(=O)Nc1ncc(CO)o1;-104.16589
N#CCCN(C=O)CCC(=O)Nc1ncco1;-55.55646
N#CCCN(C=O)CCC(=O)Nc1nc(CO)co1;-101.82967
N#CCCN(C=O)CCC(=O)Nc1ncnc2[nH]cnc12;10.00938
N#CCCN(C=O)CCC(=O)Nc1[nH]cnc1CC#N;-5.91135
N#CCCN(C=O)CCC(=O)Nc1[nH]cnc1CC(N)=O;-77.00727
N#CCCN(C=O)CCC(=O)Nc1[nH]cnc1CC(=O)O;-123.02028
N#CCCN(C=O)CCC(=O)Nc1[nH]cnc1C#N;9.77458
N#CCCN(C=O)CCC(=O)Nc1[nH]cnc1C(N)=O;-72.4912
N#CCCN(C=O)CCC(=O)Nc1[nH]cnc1CO;-74.22098
N#CCCN(C=O)CCC(=O)Nc1[nH]cnc1C(O)CO;-128.12856
N#CCCN(C=O)CCC(=O)Nc1[nH]cnc1C(=O)O;-113.97738
N#CCCN(C=O)CCC(=O)Nc1[nH]c(=O)[nH]c1C#N;-50.60191
N#CCCN(C=O)CCC(=O)Nc1[nH]c(=O)[nH]c1C(N)=O;-125.83569
N#CCCN(C=O)CCC(=O)Nc1[nH]c(=O)[nH]c1C(=O)O;-172.31744
N#CCCNC(=O)CCC(=O)NCCC#N;-54.06012
N#CCCN(C=O)CCC(=O)N(CCC#N)c1ncco1;-32.12094
N#CCCN(C=O)CCC(=O)N(CCC#N)CCC#N;-9.30936
N#CCCN(C=O)CCC(=O)N(CCC#N)CCC(N)=O;-79.85843
N#CCCN(C=O)CCC(=O)N(CCC#N)CCC(=O)O;-132.90208
N#CCCN(C=O)CCC(=O)N(CCC#N)C(C#N)CO;-48.36007
N#CCCN(C=O)CCC(=O)N(CCC#N)CC(N)=O;-82.32106
N#CCCN(C=O)CCC(=O)N(CCC#N)CC(O)CO;-127.31372
N#CCCN(C=O)CCC(=O)N(CCC#N)CC(=O)O;-126.85021
N#CCCN(C=O)CCC(=O)NCCC(N)=O;-116.7217
N#CCCN(C=O)CCC(=O)N(CCC(N)=O)CC(N)=O;-153.93865
N#CCCN(C=O)CCC(=O)N(CCC(N)=O)CC(=O)O;-208.77288
N#CCCN(C=O)CCC(=O)NC(CC(N)=O)C(N)=O;-153.71904
N#CCCN(C=O)CCC(=O)NCCC(=O)O;-163.71383
N#CCCN(C=O)CCC(=O)N(CCC(=O)O)CC(N)=O;-200.4231
N#CCCN(C=O)CCC(=O)N(CCC(=O)O)CC(=O)O;-245.3873
N#CCCN(C=O)CCC(=O)NC(CC(=O)O)C(=O)O;-248.73819
N#CCCN(C=O)CCC(=O)NCC#N;-26.44671
N#CCCN(C=O)CCC(=O)N(CC#N)c1ncco1;-18.7506
N#CCCN(C=O)CCC(=O)N(CC#N)c1[nH]cnc1C#N;43.91431
N#CCCN(C=O)CCC(=O)NC(C#N)Cc1ccccc1;-18.75421
N#CCCN(C=O)CCC(=O)N(CC#N)CCC#N;-2.55296
N#CCCN(C=O)CCC(=O)N(CC#N)CCC(N)=O;-82.66835
N#CCCN(C=O)CCC(=O)N(CC#N)CCC(=O)O;-127.63573
N#CCCN(C=O)CCC(=O)NC(C#N)CC#N;0.24162
N#CCCN(C=O)CCC(=O)N(CC#N)CC#N;9.38111
N#CCCN(C=O)CCC(=O)N(CC#N)C(C#N)CC#N;38.43521
N#CCCN(C=O)CCC(=O)NC(C#N)CCNC(=N)N;-23.55724
N#CCCN(C=O)CCC(=O)N(CC#N)CCNC(=N)N;-3.71671
N#CCCN(C=O)CCC(=O)N(CC#N)C(C#N)CO;-32.65468
N#CCCN(C=O)CCC(=O)N(CC#N)C(C#N)C(=O)O;-72.36441
N#CCCN(C=O)CCC(=O)N(CC#N)CC(N)=O;-69.69172
N#CCCN(C=O)CCC(=O)N(CC#N)CCO;-73.08213
N#CCCN(C=O)CCC(=O)N(CC#N)C(CO)C(N)=O;-122.42857
N#CCCN(C=O)CCC(=O)N(CC#N)CC(O)CO;-121.08008
N#CCCN(C=O)CCC(=O)N(CC#N)C(CO)C(=O)O;-158.65842
N#CCCN(C=O)CCC(=O)N(CC#N)CC(=O)O;-111.721
N#CCCN(C=O)CCC(=O)NC(C#N)CNC(=N)N;-11.65069
N#CCCN(C=O)CCC(=O)NC(CNC(=N)N)C(N)=O;-96.32262
N#CCCN(C=O)CCC(=O)NC(CNC(=N)N)C(=O)O;-133.46414
N#CCCN(C=O)CCC(=O)NC(C#N)CO;-79.80619
N#CCCN(C=O)CCC(=O)NC(C#N)(CO)CO;-120.14929
N#CCCN(C=O)CCC(=O)NC(C#N)C(O)CO;-125.07152
N#CCCN(C=O)CCC(=O)NC(C#N)C(O)C(O)CO;-171.13942
N#CCCN(C=O)C(CC(=O)NCC#N)C(=O)NCC#N;-36.09958
N#CCCN(C=O)CCC(=O)NCC(N)=O;-109.01625
N#CCCN(C=O)CCC(=O)N(CC(N)=O)c1ncco1;-97.90498
N#CCCN(C=O)CCC(=O)N(CC(N)=O)C(C#N)CO;-120.40209
N#CCCN(C=O)CCC(=O)N(CC(N)=O)CC(N)=O;-149.09567
N#CCCN(C=O)CCC(=O)N(CC(N)=O)CC(=O)O;-192.30599
N#CCCN(C=O)CCC(=O)NC(C(N)=O)C(O)CO;-204.79301
N#CCCN(C=O)CCC(=O)N(CCO)c1ncco1;-103.73199
N#CCCN(C=O)CCC(=O)N(CCO)CCC#N;-84.20617
N#CCCN(C=O)CCC(=O)N(CCO)CCC(N)=O;-161.3232
N#CCCN(C=O)CCC(=O)N(CCO)CCC(=O)O;-208.18928
N#CCCN(C=O)CCC(=O)N(CCO)C(C#N)CC#N;-41.17073
N#CCCN(C=O)CCC(=O)N(CCO)C(C#N)CO;-120.51534
N#CCCN(C=O)CCC(=O)N(CCO)CC(N)=O;-148.28476
N#CCCN(C=O)CCC(=O)N(CCO)CC(=O)O;-198.34687
N#CCCN(C=O)CCC(=O)NC(CO)C(N)=O;-153.11621
N#CCCN(C=O)CCC(=O)NC(CO)CO;-158.75503
N#CCCN(C=O)CCC(=O)NC(CO)C(O)CO;-212.33851
N#CCCN(C=O)CCC(=O)NCC(=O)C(=O)O;-183.68907
N#CCCN(C=O)CCC(=O)NC(CO)C(=O)O;-202.28752
N#CCCN(C=O)CCC(=O)NCC(=O)NCCC(N)=O;-156.32062
N#CCCN(C=O)CCC(=O)NCC(=O)NCCC(=O)O;-200.79481
N#CCCN(C=O)CCC(=O)NCC(=O)NCC#N;-69.81062
N#CCCN(C=O)CCC(=O)NCC(=O)NC(C#N)CO;-120.39705
N#CCCN(C=O)CCC(=O)NCC(=O)NCC(N)=O;-148.74751
N#CCCN(C=O)CCC(=O)NCC(=O)NCC(=O)O;-205.27716
N#CCCN(C=O)CCC(=O)NCC(=O)O;-155.14541
N#CCCN(C=O)CCC(=O)N(CC(=O)O)c1ncco1;-140.47442
N#CCCN(C=O)CCC(=O)N(CC(=O)O)C(C#N)CO;-166.67966
N#CCCN(C=O)CCC(=O)N(CC(=O)O)CC(=O)O;-235.36836
N#CCCN(C=O)CCC(=O)NC(C(=O)O)C(O)CO;-255.17047
N#CCCN(C=O)CCC(=O)O;-108.56037
N#CCCN(C=O)CCC(=O)OC(CC(N)=O)C(N)=O;-191.65491
N#CCCN(C=O)CCC(=O)OCC(N)=O;-147.56896
N#CCCN(C=O)C(CC(=O)O)C(=O)O;-194.99345
N#CCCN(C=O)CC#N;22.44998
N#CCCN(C=O)C(C#N)Cc1ccccc1;37.86111
N#CCCNC(=O)CCNC(Cc1ccccc1)C(N)=O;-57.42245
N#CCCNC(=O)CCNC(Cc1ccccc1)C(=O)O;-103.27777
N#CCCNC(=O)CCN(CCC#N)CCC#N;33.89415
N#CCCNC(=O)CCN(CCC#N)CCC(N)=O;-37.99477
N#CCCNC(=O)CCN(CCC#N)CCC(=O)O;-85.34081
N#CCCNC(=O)CCN(CCC#N)C(C#N)CC#N;64.61927
N#CCCNC(=O)CCN(CCC#N)C(C#N)CO;-14.16523
N#CCCNC(=O)CCN(CCC#N)CC(N)=O;-39.45653
N#CCCNC(=O)CCN(CCC#N)CC(O)C(=O)O;-135.62436
N#CCCNC(=O)CCN(CCC#N)CC(=O)NCC#N;-6.46298
N#CCCNC(=O)CCN(CCC#N)CC(=O)O;-86.16192
N#CCCNC(=O)CCN(CCC#N)C(=N)N;25.93664
N#CCCNC(=O)CCN(CCC#N)C(=N)NC(=N)N;43.52804
N#CCCNC(=O)CCN(CCC#N)C(N)=O;-42.87829
N#CCCNC(=O)CCNC(CC#N)C(N)=O;-43.72258
N#CCCNC(=O)CC(NCCC#N)C(=O)NCCC#N;-20.9433
N#CCCNC(=O)CCN(CCC(N)=O)C(=N)N;-58.69099
N#CCCNC(=O)CCN(CCC(N)=O)C(=N)NC(=N)N;-20.90042
N#CCCNC(=O)CCN(CCC(N)=O)C(N)=O;-120.0725
N#CCCNC(=O)CCNC(CC(N)=O)C(N)=O;-125.50331
N#CCC(NC(=O)CCN(CCC(N)=O)C(N)=O)C(=O)O;-215.09057
N#CCCN(C=O)C(C#N)C(=CCO)c1ccccc1;8.18678
N#CCCNC(=O)CCN(CCC(=O)O)C(=N)N;-95.31127
N#CCCNC(=O)CCN(CCC(=O)O)C(=N)NC(=N)N;-77.27376
N#CCCNC(=O)CCN(CCC(=O)O)C(N)=O;-165.87211
N#CCCNC(=O)CCNC(CC(=O)O)C(=O)O;-203.44912
N#CCCN(C=O)C(C#N)CC#N;51.0466
N#CCCNC(=O)CCNC(C#N)Cc1ccccc1;19.02447
N#CCCNC(=O)CCN(CC#N)CCC#N;37.23744
N#CCCNC(=O)CCNC(C#N)CC#N;34.73071
N#CCCNC(=O)CCN(CC#N)CC(O)C(=O)O;-128.65209
N#CCCNC(=O)CCN(CC#N)C(=N)N;26.13579
N#CCCN(C(=O)CCN(CC#N)C(=N)N)c1ncco1;35.60433
N#CCCN(C(=O)CCN(CC#N)C(=N)N)C(C#N)CO;18.10196
N#CCCNC(=O)CCN(CC#N)C(=N)NC(=N)N;49.98423
N#CCC(NC(=O)CCN(CC#N)C(=N)N)C(N)=O;-18.57741
N#CCCNC(=O)CCN(CC#N)C(N)=O;-34.37265
N#CCCN(C(=O)CCN(CC#N)C(N)=O)c1ncco1;-29.16148
N#CCCN(C(=O)CCN(CC#N)C(N)=O)C(C#N)CO;-46.43474
N#CCCNC(=O)CCNC(C#N)CO;-42.82051
N#CCCNC(=O)CC(NCC#N)C(=O)NCCC#N;-15.86147
N#CCCNC(=O)CCN(CC(N)=O)C(=N)N;-48.35121
N#CCCNC(=O)CCN(CC(N)=O)C(=N)NC(=N)N;-24.09656
N#CCCNC(=O)CCN(CC(N)=O)C(N)=O;-115.56044
N#CCCNC(=O)CC(NCC(N)=O)C(=O)NCCC#N;-92.22166
N#CCCNC(=O)CCNC(CO)C(N)=O;-124.51018
N#CCCNC(=O)CCNC(CO)C(=O)O;-156.41501
N#CCCNC(=O)CCN(CC(=O)NCCC#N)C(=N)N;-26.12683
N#CCCNC(=O)CCN(CC(=O)NCCC#N)C(N)=O;-86.17295
N#CCCNC(=O)CCN(CC(=O)NCC#N)C(=N)N;-10.0919
N#CCCNC(=O)CCN(CC(=O)NCC#N)C(N)=O;-82.21645
N#CCCNC(=O)CCN(CC(=O)NCC(N)=O)C(=N)N;-92.75344
