smiles; heat of formation [kcal/mol]
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(C=O)CC(N)=O)o1;-182.19667
Cc1cnc(NC(=O)CC(C(=O)Nc2ncc(C)o2)N(C=O)CC(=O)O)o1;-224.84943
Cc1cnc(NC(=O)CCC(=O)Nc2ncc(C)o2)o1;-103.13567
Cc1cnc(NC(=O)CCN(CC#Cc2ccccc2)CCC#N)o1;49.6423
Cc1cnc(NC(=O)CCN(CC#Cc2ccccc2)C(C)C#N)o1;51.61029
Cc1cnc(NC(=O)CCN(CC#Cc2ccccc2)CCC(N)=O)o1;-26.28918
Cc1cnc(NC(=O)CCN(CC#Cc2ccccc2)C(C#N)CC#N)o1;82.97618
Cc1cnc(NC(=O)CCN(CC#Cc2ccccc2)C(C#N)CO)o1;7.31005
Cc1cnc(NC(=O)CCN(CC#Cc2ccccc2)CC(N)=O)o1;-20.72873
Cc1cnc(NC(=O)CCN(CC#Cc2ccccc2)CC(=O)Nc2ncc(C)o2)o1;-23.48656
Cc1cnc(NC(=O)CCN(CCC#N)C(C)C#Cc2ccccc2)o1;46.7603
Cc1cnc(NC(=O)CCN(C(C)C#N)C(C)C#Cc2ccccc2)o1;49.11926
Cc1cnc(NC(=O)CCN(CCC#N)C(CC#N)C(N)=O)o1;-41.99915
Cc1cnc(NC(=O)CCN(CCC#N)CCC#N)o1;2.26346
Cc1cnc(NC(=O)CCN(CCC#N)C(C)C#N)o1;3.5983
Cc1cnc(NC(=O)CCN(CCC#N)C(CC(N)=O)C(N)=O)o1;-120.93899
Cc1cnc(NC(=O)CCN(CCC#N)CCC(N)=O)o1;-76.61179
Cc1cnc(NC(=O)CCN(CCC#N)C(CC(=O)O)C(=O)O)o1;-209.71753
Cc1cnc(NC(=O)CCN(CCC#N)CCC(=O)O)o1;-121.2109
Cc1cnc(NC(=O)CCN(CCC#N)C(C#N)Cc2ccccc2)o1;24.08942
Cc1cnc(NC(=O)CCN(CCC#N)C(C#N)CC#N)o1;35.76427
Cc1cnc(NC(=O)CCN(CCC#N)C(C#N)CO)o1;-40.60544
Cc1cnc(NC(=O)CCN(CCC#N)CC(N)=O)o1;-71.09424
Cc1cnc(NC(=O)CCN(CCC#N)CC(O)C(N)=O)o1;-118.77433
Cc1cnc(NC(=O)CCN(CCC#N)CC(O)C(=O)Nc2ncc(C)o2)o1;-124.48309
Cc1cnc(NC(=O)CCN(CCC#N)CC(O)C(=O)O)o1;-161.10053
Cc1cnc(NC(=O)CCN(CCC#N)CC(=O)Nc2ncc(C)o2)o1;-69.72072
Cc1cnc(NC(=O)CCN(CCC#N)CC(=O)NCCC#N)o1;-46.79557
Cc1cnc(NC(=O)CCN(CCC#N)CC(=O)N(CC#N)CC#N)o1;0.0345
Cc1cnc(NC(=O)CCN(CCC#N)CC(=O)NC(C#N)CC#N)o1;-15.23571
Cc1cnc(NC(=O)CCN(CCC#N)CC(=O)NCC#N)o1;-39.35491
Cc1cnc(NC(=O)CCN(CCC#N)CC(=O)NCC(N)=O)o1;-115.10131
Cc1cnc(NC(=O)CCN(CCC#N)CC(=O)NCC(=O)O)o1;-160.31598
Cc1cnc(NC(=O)CCN(CCC#N)CC(=O)O)o1;-114.02077
Cc1cnc(NC(=O)CCN(CCC#N)C(=N)NC(=N)N)o1;13.7875
Cc1cnc(NC(=O)CCN(CCC#N)C(=N)N)o1;-4.24568
Cc1cnc(NC(=O)CCN(CCC#N)C(N)=O)o1;-72.41273
Cc1cnc(NC(=O)CCN(CCC(N)=O)CC(O)C(N)=O)o1;-194.87501
Cc1cnc(NC(=O)CCN(CCC(N)=O)CC(O)C(=O)Nc2ncc(C)o2)o1;-201.60253
